year,date,stage,unit_id,job_number,issue,raw_file
2012,20120128,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120129,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120205,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120211,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120212,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120218,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120219,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120226,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120227,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120304,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120311,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120317,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120318,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120324,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120325,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120331,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120401,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120404,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120407,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120408,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120414,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120415,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120421,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120422,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120428,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120429,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120505,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120506,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120512,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120513,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120520,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120527,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120602,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120603,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120609,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120610,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120616,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120617,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120623,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120707,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120714,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120715,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120721,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120722,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120728,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120729,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120804,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120811,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120812,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120818,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120825,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120826,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120902,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120908,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120909,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120915,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120923,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120929,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20121006,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20121007,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20121021,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20121027,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20121028,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20121030,normalize,3.76.55.28,B10152,缺少得標廠商,data/raw/hualien/2012/tenders/20121030_3.76.55.28_B10152.json
2012,20121103,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20121104,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20121111,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20121117,daily,,,非 JSON 回應：text/html; charset=UTF-8,
