case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.87.8.67|111-kkes10|20220719|aaa-70040487,2022,20220719,2022-07-19,3.87.8.67,臺中市沙鹿區公館國民小學,111-kkes10,東棟校舍教室設施及安全防護設施工程,<工程類>5127教育用建築工程,公開取得報價單或企劃書,最低標,658186,625276,1,匯築室內裝修實業有限公司,臺中市(非原住民地區),臺中市－沙鹿區,111/07/25－111/09/30(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDA0ODc=,data/raw/taichung/2022/tenders/20220719_3.87.8.67_111-kkes10.json
3.87.8.85|11105|20220719|aaa-70040873,2022,20220719,2022-07-18,3.87.8.85,臺中市烏日區九德國民小學,11105,臺中市烏日區九德國小111年度智慧教室設備財物採購,"<財物類>47收音機、電視,通訊器材及儀器",公開取得報價單或企劃書,參考最有利標精神,450000,444000,1,元訊電腦有限公司,臺中市(非原住民地區),中部地區－全區,111/07/20－111/08/20(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDA4NzM=,data/raw/taichung/2022/tenders/20220719_3.87.8.85_11105.json
3.87.8.94|1110003194|20220719|BDM-1-70040070,2022,20220719,2022-07-18,3.87.8.94,臺中市大里區益民國民小學,1110003194,臺中市大里區益民國民小學公立高級中等以下學校既有電力系統改善工程,<工程類>5164電力工程,公開招標,最低標,1541054,1238899,1,金鍏電子股份有限公司,臺中市(非原住民地區),臺中市－大里區,111/07/18－112/12/18(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220719&fn=BDM-1-70040070.xml,data/raw/taichung/2022/tenders/20220719_3.87.8.94_1110003194.json
3.87.10.1|111A-055|20220720|BDM-1-70041372,2022,20220720,2022-07-19,3.87.10.1,臺中市新建工程處,111A-055,大里區南門橋拓寬工程暨聯外道路拓寬工程（中興路二段822巷至七中路) (第1次變更設計),<工程類>5139其他土木工程,限制性招標(未經公開評選或公開徵求),最低標,4946660,4900000,1,欽成營造股份有限公司,臺中市(非原住民地區),"臺中市－東區,臺中市－南區,臺中市－大里區",111/07/29－111/12/31(預估),中興路二段822巷；七中路,標案名稱,,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041372.xml,data/raw/taichung/2022/tenders/20220720_3.87.10.1_111A-055.json
3.87.10.1|111A-064|20220720|BDM-1-70041210,2022,20220720,2022-07-19,3.87.10.1,臺中市新建工程處,111A-064,「北屯區同榮路銜接環中路道路開闢工程」第一次變更設計,<工程類>5139其他土木工程,限制性招標(未經公開評選或公開徵求),最低標,81098,81098,1,良全土木包工業,臺中市(非原住民地區),臺中市－北屯區,111/07/29－111/08/31(預估),北屯區同榮路；銜接環中路,標案名稱,,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041210.xml,data/raw/taichung/2022/tenders/20220720_3.87.10.1_111A-064.json
3.87.12|1110609900-11|20220720|BDM-1-70041277,2022,20220720,2022-07-06,3.87.12,臺中市政府社會局,1110609900-11,臺中市公設民營太平德隆托嬰中心整修工程,<工程類>5129其他用途建築工程,公開招標,最低標,4059839,3980000,1,綠清室內裝修工程有限公司,臺中市(非原住民地區),臺中市－太平區,111/07/06－111/11/30(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041277.xml,data/raw/taichung/2022/tenders/20220720_3.87.12_1110609900-11.json
3.87.12.27|TMDP11004-1|20220720|BDM-1-70040554,2022,20220720,2022-07-19,3.87.12.27,臺中市立東勢幼兒園,TMDP11004-1,臺中市立東勢幼兒園110學年度幼童餐點食材供應採購案,"<財物類>21肉類,魚,果實,蔬菜,及油脂",限制性招標(未經公開評選或公開徵求),最低標,3880800,3880800,1,美麗人生空中超市股份有限公司,臺中市(非原住民地區),臺中市－東勢區,111/08/15－112/07/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70040554.xml,data/raw/taichung/2022/tenders/20220720_3.87.12.27_TMDP11004-1.json
3.87.14|111D07|20220720|aaa-70043353,2022,20220720,2022-07-04,3.87.14,臺中市政府衛生局,111D07,111年臺中市民肺部健康服務計畫,<勞務類>93健康及社會服務,公開取得報價單或企劃書,參考最有利標精神,950000,950000,1,臺中榮民總醫院,臺中市(非原住民地區),臺中市－全區,111/07/04－111/12/10,,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDMzNTM=,data/raw/taichung/2022/tenders/20220720_3.87.14_111D07.json
3.87.15|N1110505062|20220720|BDM-1-70041899,2022,20220720,2022-07-15,3.87.15,臺中市政府環境保護局,N1110505062,111年度清潔人員工作服及巡查背心,"<財物類>282成衣,毛皮服裝除外",公開招標,最有利標,11226100,11226100,2,超茂國際有限公司；根基事業有限公司,臺中市(非原住民地區),臺中市－全區,111/07/25－111/12/01(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70041899.xml,data/raw/taichung/2022/tenders/20220720_3.87.15_N1110505062.json
3.87.15|N1110620075|20220720|BDM-1-70040633,2022,20220720,2022-07-18,3.87.15,臺中市政府環境保護局,N1110620075,111年因應新型肺炎防疫廢棄物乙級清除服務開口合約,<勞務類>94污水及垃圾處理、公共衛生及其他環保服務,公開招標,最低標,2880000,2790000,1,榮輔企業股份有限公司,臺中市(非原住民地區),臺中市－全區,111/07/18－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220720&fn=BDM-1-70040633.xml,data/raw/taichung/2022/tenders/20220720_3.87.15_N1110620075.json
